.6..7..4.1...8...2...4...1......9.....584.3..69.3....7.8.....6...9...2......5..74,962571843147683952853492716314729685725846391698315427481237569579164238236958174,24,7.7
..3.4.6.1.1..37..9...8...2.7....6.....547.....2..9....3.....58...2..3.6...9.6....,583942671214637859697851423748216395935478216126395748361729584452183967879564132,25,7.0
...4...6..72..8...9.....7...3..2..5....3.42...8.......8.4.....9...6...1...9.4...5,351497862672138594948562731437821956196354278285976143864715329523689417719243685,22,7.3
7.3.8126..2...75......6.....87.2..1.4..7...2.1....6.....9.4..7....2..8.........4.,793581264624937581815462793987324615436715928152896437569148372341279856278653149,25,7.0
32.9.54.1.1..........83.92.2....7..34761..................5....5.4...8.....4.21..,328975461719624538645831927281547693476193285953286714192758346564319872837462159,25,7.0
.....5.6..8..1...9......2.3....9.7...3.1.7.......68..2..1.......5.4..8.78.7....96,792835164483612579615974283568293741239147658174568932941786325356429817827351496,24,7.0
..7...563.2...........9.....61...........62....54..78....784..1..65..8.2.......4.,917248563624153978583697124761825439849376215235419786392784651476531892158962347,23,7.7
64..83.......958..5........2..3...9.1.725.................1..62...9....5.6....73.,649783251723195846518462379286341597137259684495678123354817962872936415961524738,23,7.0
.....195...697......7.2.3.4..4...6..7...........6...89.3...5..........1..921.....,328461957546973128917528364184359672769842531253617489431785296675294813892136745,22,7.2
54...68.....1............346.....2.......1.8.27..9...546..5.9...8......7..34.....,541736892832149756796825134619584273354271689278693415467358921185962347923417568,23,7.6
8......9...31.6.....4...5.1.4.7.....5...6.23..2...5...7.93..81.........3....8..2.,816254397953176482274938561648723159597461238321895746769342815482519673135687924,24,7.2
8..1...5..5.....134....39....9.....1...8...6..48..7.....2..9....7..2.8......7...5,893162754257948613416753928769235481125894367348617592532489176674521839981376245,23,7.1
..8..29..4.......2..9...46..5..4........8.2.......1.5.17......36..3....4...85.6..,518462937467935182329178465853246719791583246246791358175624893682319574934857621,23,7.3
....6.92..6.25.......1.78....8.7.....97..3..55.6.........61.....2....1......8..4.,175468923863259471942137856218576394497823615536941287789614532324795168651382749,23,7.3
...6......61....454.39.....58..4....9..3.5........86.....4.7...3...6..82....3.1..,895674213761823945423951768582746391976315824134298657219487536357169482648532179,24,7.0
..3.2....5.......6.6..7.9.17....13....9....5..8...2..99..3..4....8..6.....4...7..,193628574547193826862475931726951348319864257485732619951387462278546193634219785,23,7.5
.......7..1.9.4..8..9........5..17....3..96..1...67..9........4.82.46...3...8....,234618975517934268869275341695421783473859612128367459756193824982546137341782596,23,8.5
7........6....34.5.9....62.9.5.....8..4.9...2.3.5...4......7.....78.5.......2..14,741256389682913475593478621925764138874391562136582947269147853417835296358629714,24,7.6
